"","ele_meters","richness","ln_ele","ln_richness"
"1",1383,20.5175705793615,7.23201033166476,3.02128162047494
"2",764,15.619935163088,6.63856778916652,2.74854799351227
"3",467,14.5379415221914,6.1463292576689,2.67676188864352
"4",457,10.1579097487309,6.12468339089421,2.31825268759169
"5",1779,17.9712473174445,7.48380668766583,2.88877310948538
"6",1415,13.0613592142213,7.25488481007734,2.56965819302871
"7",1621,24.6867604495344,7.39079852173568,3.20626708573808
"8",854,15.2510385806973,6.74993119378857,2.72464760438675
"9",1827,15.1458874708355,7.51043055637801,2.71772904103479
"10",938,17.3039383105312,6.84374994900622,2.85093412360344
"11",1668,17.1019557057504,7.41938058291869,2.83919282572634
"12",1674,16.1843864964543,7.42297125104942,2.78404698097267
"13",943,18.3730009119812,6.84906628263346,2.91088224527463
"14",1335,17.9208137561799,7.19668657083435,2.88596281701687
"15",589,12.1506763969478,6.37842618365159,2.49738483876769
"16",406,12.3179716623115,6.00635315960173,2.51105930675169
"17",1328,23.3918637578415,7.19142933003638,3.15238825924473
"18",1302,18.8020556624792,7.17165682276851,2.9339662076072
"19",1664,21.4052675971765,7.41697962138115,3.06363704113879
"20",1232,23.425472405564,7.11639414409346,3.15382399464746
"21",1081,17.8329954045922,6.98564181763921,2.88105041577911
"22",1249,13.8023782753449,7.13009851012558,2.62484091610765
"23",357,11.3532151740236,5.87773578177964,2.42950097905693
"24",965,19.2867323521865,6.87212810133899,2.95941741662174
"25",890,10.0622777435592,6.79122146272619,2.30879355490414
"26",544,14.6946455769792,6.29894924685594,2.68748318096684
"27",138,8.28746617694871,4.92725368515721,2.11474427429083
"28",1804,21.1979895642267,7.49776170062257,3.05390634530504
"29",68,8.45243897312324,4.21950770517611,2.13445503559434
"30",303,8.83430872692437,5.71373280550937,2.17864286014398
"31",1414,22.316570984561,7.25417784645652,3.10532949598689
"32",1438,11.4321643929449,7.27100853828099,2.43643082059283
"33",25,3.64809303382344,3.2188758248682,1.29420457457972
"34",1854,23.9100893990952,7.5251007461258,3.17430052044673
"35",422,12.8965687279454,6.04500531403601,2.55696128590424
"36",123,8.65486431422196,4.81218435537242,2.15812151135011
"37",910,13.6455163146329,6.8134445995109,2.61341099255273
"38",249,7.74847797617886,5.51745289646471,2.04749643390771
"39",150,5.78059327420582,5.01063529409626,1.75450632001306
"40",299,11.4394342475639,5.70044357339069,2.43706653084449
"41",1068,19.0693780390969,6.97354301952014,2.94808380445523
"42",728,10.5183215658624,6.59030104819669,2.35311864760934
"43",1576,19.3513379558536,7.36264527041782,2.96276156209074
"44",1482,18.6993916440442,7.30114780585603,2.9284909909273
"45",1709,21.2688414272425,7.44366368311559,3.05724315792337
"46",1150,19.7848081324573,7.0475172213573,2.98491437716375
"47",687,13.7590613228261,6.53233429222235,2.62169761236038
"48",1026,13.6474128475247,6.93342302573071,2.61354996868707
"49",248,9.63991536551587,5.51342874616498,2.26591232907311
"50",1995,26.449460244121,7.59839932932396,3.2752357514466
"51",326,8.81376249074618,5.78689738136671,2.17631441923873
"52",1321,14.6940347584955,7.18614430452233,2.6874416126843
"53",607,13.3239572555402,6.4085287910595,2.58956371224614
"54",1576,24.5626756959544,7.36264527041782,3.20122804261985
"55",578,12.120880466337,6.35957386867238,2.49492962373997
"56",234,9.30069423543692,5.4553211153577,2.23008904634483
